exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1397720778020865,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383176000,SEGUT5ec79e5e8f8eb691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,25315.39,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
1397723465652225,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383188000,SEGUT5ec79e5e8f8eb691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,487.3998,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:12
1397724696680449,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383192000,SEGUT5ec79e5e8f8eb691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,154.71,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:16
1397835860809729,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383474000,SEGUT5ec79e5e8f8eb691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,13811.7457,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:58
1397882935973889,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383606000,BEGUT5ec79e5e8f809691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.00071,380.4271,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:07:10
1397897397016577,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383637000,SEGUT5ec79e5e8f8eb691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,1172.0531,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:07:41
1398235913525249,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667384879000,BEGUT5ec7a2d8e07ab691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.00071,95492.1595,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:08:21
1398326567376897,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667385204000,SEGUT5ec7a5160921e691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,14916.863,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:03:45
1398331877627905,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667385229000,SEGUT5ec7a5160921e691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,18081.818,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:10
1398331946440705,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667385230000,SEGUT5ec7a5160921e691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,10249.672,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:11
1398340786067457,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667385270000,SEGUT5ec7a5160921e691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000711,2793.196,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:51
